,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Company,Model
55,Kolkata,2015,39000,Petrol,Manual,3,15.04,1598.0,103.2,5.0,3.99,volkswagen,volkswagen vento
56,Kochi,2017,16542,Petrol,Manual,3,25.17,799.0,53.3,5.0,3.3,renault,renault kwid
57,Kolkata,2010,32000,Petrol,Manual,3,20.36,1197.0,78.9,5.0,2.07,hyundai,hyundai i10
59,Hyderabad,2010,39300,Petrol,Manual,3,18.2,998.0,67.1,5.0,2.25,maruti,maruti zen
60,Mumbai,2017,22000,Diesel,Manual,3,13.68,2393.0,147.8,8.0,16.5,toyota,toyota innova
61,Bangalore,2010,72000,Diesel,Manual,3,20.0,1399.0,68.0,5.0,2.75,ford,ford figo
63,Pune,2011,65000,Diesel,Manual,2,15.8,2148.0,170.0,5.0,10.0,mercedes-benz,mercedes-benz new
65,Jaipur,2012,65664,Diesel,Automatic,3,16.55,1968.0,140.0,5.0,13.5,audi,audi a4
66,Mumbai,2007,63000,Petrol,Automatic,2,16.4,1497.0,78.0,5.0,1.85,honda,honda city
68,Pune,2016,63000,Diesel,Manual,3,24.52,1248.0,88.5,7.0,8.15,maruti,maruti ertiga
69,Mumbai,2018,13000,Diesel,Manual,3,22.1,1396.0,88.7,5.0,10.5,hyundai,hyundai creta
71,Mumbai,2015,55729,Diesel,Manual,3,15.1,2179.0,140.0,7.0,9.65,mahindra,mahindra xuv500
72,Kochi,2012,45178,Petrol,Automatic,3,16.95,1197.0,78.9,5.0,3.48,hyundai,hyundai i10
73,Kochi,2015,56066,Diesel,Manual,3,19.64,1461.0,108.5,5.0,6.92,nissan,nissan terrano
74,Coimbatore,2016,37300,Petrol,Automatic,2,16.5,1198.0,86.8,5.0,6.46,honda,honda brio
78,Hyderabad,2012,104000,Diesel,Manual,3,12.8,2494.0,102.0,7.0,11.75,toyota,toyota innova
80,Jaipur,2012,95100,Diesel,Manual,3,22.9,1248.0,74.0,5.0,3.75,maruti,maruti swift
81,Pune,2017,70000,Petrol,Manual,3,17.57,1193.0,88.7,5.0,4.5,tata,tata zest
82,Kochi,2016,54944,Petrol,Manual,3,18.0,1198.0,86.7,5.0,4.82,honda,honda amaze
83,Hyderabad,2012,70337,Diesel,Manual,3,20.0,1399.0,68.0,5.0,2.8,ford,ford figo
84,Jaipur,2013,99638,Diesel,Manual,3,23.2,1248.0,73.94,5.0,3.11,maruti,maruti ritz
85,Delhi,2009,52000,Petrol,Manual,3,17.8,1497.0,117.3,5.0,3.25,honda,honda city
86,Delhi,2011,75000,Diesel,Automatic,2,16.73,1995.0,218.0,5.0,13.9,bmw,bmw 5
87,Pune,2009,95980,Petrol,Manual,3,20.36,1197.0,78.9,5.0,2.25,hyundai,hyundai i10
88,Bangalore,2016,16000,Petrol,Manual,3,18.9,1197.0,82.0,5.0,5.75,hyundai,hyundai grand
90,Mumbai,2016,18949,Petrol,Manual,3,17.8,1198.0,86.7,5.0,5.0,honda,honda amaze
91,Delhi,2014,107000,Diesel,Manual,3,13.0,2982.0,168.5,7.0,16.5,toyota,toyota fortuner
93,Delhi,2013,57000,Diesel,Manual,3,22.7,1498.0,89.84,5.0,5.5,ford,ford ecosport
94,Delhi,2014,58000,Diesel,Manual,3,15.1,2179.0,140.0,7.0,8.1,mahindra,mahindra xuv500
95,Kolkata,2015,30000,Diesel,Manual,3,25.8,1498.0,98.6,5.0,3.5,honda,honda amaze
96,Kolkata,2013,34212,Diesel,Manual,3,22.07,1199.0,73.9,5.0,2.79,volkswagen,volkswagen polo
97,Ahmedabad,2010,70002,Diesel,Manual,3,16.2,1493.0,110.0,5.0,3.45,hyundai,hyundai verna
98,Bangalore,2016,62000,Petrol,Manual,3,18.9,998.0,67.1,5.0,4.45,maruti,maruti wagon
99,Delhi,2010,62001,Petrol,Manual,3,15.26,1598.0,103.5,5.0,2.65,volkswagen,volkswagen polo
100,Pune,2011,78958,Diesel,Manual,2,23.0,1396.0,90.0,5.0,3.8,hyundai,hyundai i20
101,Mumbai,2014,30180,Petrol,Manual,3,18.5,1197.0,82.85,5.0,4.65,hyundai,hyundai i20
103,Kolkata,2010,30000,Diesel,Automatic,3,14.94,2967.0,241.4,5.0,9.8,audi,audi a4
104,Pune,2009,66000,Petrol,Manual,2,17.0,1197.0,80.0,5.0,2.7,hyundai,hyundai i20
105,Coimbatore,2010,93850,Petrol,Manual,3,14.0,796.0,35.0,5.0,2.41,maruti,maruti omni
106,Ahmedabad,2014,53000,Petrol,Manual,3,17.71,1197.0,78.9,5.0,3.9,toyota,toyota etios
108,Delhi,2012,65000,Diesel,Manual,2,16.0,2179.0,140.0,7.0,5.75,mahindra,mahindra xuv500
109,Kolkata,2014,40000,Diesel,Automatic,3,22.32,1582.0,126.32,5.0,5.25,hyundai,hyundai verna
110,Mumbai,2017,30000,Diesel,Automatic,3,11.36,2755.0,171.5,7.0,19.25,toyota,toyota innova
111,Coimbatore,2017,38053,Petrol,Manual,3,15.1,1196.0,73.0,5.0,3.91,maruti,maruti eeco
113,Mumbai,2015,56087,Diesel,Automatic,3,22.69,1995.0,190.0,5.0,20.75,bmw,bmw 3
114,Delhi,2010,71088,Petrol,Manual,3,13.5,1799.0,130.0,5.0,3.35,honda,honda civic
115,Ahmedabad,2014,55000,Diesel,Manual,3,12.99,2494.0,100.6,7.0,11.11,toyota,toyota innova
117,Coimbatore,2016,39882,Petrol,Automatic,3,19.15,1198.0,75.94,5.0,6.55,nissan,nissan micra
118,Mumbai,2009,128000,Petrol,Automatic,3,10.8,2497.0,215.0,5.0,7.0,bmw,bmw 5
119,Mumbai,2016,55000,Diesel,Manual,3,24.3,1248.0,88.5,5.0,7.5,maruti,maruti vitara
121,Pune,2014,53753,Diesel,Automatic,2,15.0,2143.0,107.3,5.0,16.75,mercedes-benz,mercedes-benz b
122,Kolkata,2018,10250,Diesel,Manual,3,22.0,1582.0,126.2,5.0,10.95,hyundai,hyundai verna
123,Pune,2011,43874,Petrol,Manual,3,18.9,998.0,67.1,5.0,2.45,maruti,maruti wagon
125,Kolkata,2014,42000,Diesel,Manual,3,12.05,2179.0,120.0,8.0,7.75,mahindra,mahindra scorpio
126,Kolkata,2009,28352,Petrol,Automatic,3,11.7,1796.0,178.0,5.0,9.35,mercedes-benz,mercedes-benz new
127,Pune,2013,89900,CNG,Manual,3,26.6,998.0,58.16,5.0,3.25,maruti,maruti wagon
128,Bangalore,2007,47700,Petrol,Manual,2,10.8,2354.0,152.0,5.0,5.25,honda,honda cr-v
129,Pune,2015,55000,Diesel,Automatic,3,21.21,1498.0,103.2,5.0,7.25,volkswagen,volkswagen vento
130,Kochi,2017,44285,Petrol,Manual,3,20.73,1373.0,91.1,5.0,7.47,maruti,maruti ciaz
131,Jaipur,2016,54000,Diesel,Automatic,3,16.0,2179.0,140.0,7.0,13.25,mahindra,mahindra xuv500
132,Coimbatore,2016,30232,Petrol,Manual,3,21.1,1197.0,85.8,5.0,5.81,maruti,maruti ritz
133,Hyderabad,2014,88500,Petrol,Manual,3,24.07,998.0,67.1,5.0,2.6,maruti,maruti alto
135,Kochi,2019,12645,Petrol,Automatic,3,17.0,1591.0,121.3,5.0,11.5,hyundai,hyundai verna
136,Chennai,2010,94385,Petrol,Manual,2,19.7,796.0,46.3,5.0,1.6,maruti,maruti alto
138,Mumbai,2015,12000,Petrol,Automatic,3,19.0,1199.0,88.7,5.0,6.0,honda,honda jazz
139,Delhi,2012,88578,Petrol,Manual,3,13.5,1799.0,130.0,5.0,3.95,honda,honda civic
140,Kochi,2014,44965,Diesel,Automatic,3,19.27,2143.0,170.0,5.0,17.95,mercedes-benz,mercedes-benz new
141,Kolkata,2014,45044,Diesel,Manual,3,25.8,1498.0,98.6,5.0,3.7,honda,honda amaze
142,Kochi,2016,34204,Petrol,Manual,3,22.0,1197.0,81.8,5.0,5.43,maruti,maruti swift
144,Coimbatore,2012,91235,Diesel,Manual,3,11.5,2982.0,171.0,7.0,13.49,toyota,toyota fortuner
145,Pune,2014,38800,Petrol,Manual,3,18.6,1199.0,76.8,5.0,2.85,chevrolet,chevrolet beat
146,Chennai,2013,83000,Diesel,Manual,3,21.14,1498.0,103.52,5.0,4.75,skoda,skoda rapid
147,Kochi,2018,41283,Petrol,Manual,3,20.73,1373.0,91.1,5.0,9.9,maruti,maruti ciaz
150,Coimbatore,2015,48214,Diesel,Automatic,3,17.11,1968.0,174.33,5.0,23.32,audi,audi a4
151,Chennai,2016,35000,Diesel,Manual,3,22.9,1248.0,74.0,5.0,6.25,maruti,maruti swift
153,Coimbatore,2016,54620,Diesel,Automatic,3,21.66,1498.0,103.52,5.0,9.86,skoda,skoda rapid
154,Pune,2012,136997,Diesel,Automatic,3,17.2,1968.0,138.1,5.0,8.5,skoda,skoda superb
155,Kochi,2019,14322,Petrol,Manual,3,21.1,814.0,55.2,5.0,4.23,hyundai,hyundai eon
156,Jaipur,2012,65634,Diesel,Manual,3,22.07,1199.0,73.9,5.0,3.5,volkswagen,volkswagen polo
158,Kolkata,2013,33280,Petrol,Manual,3,19.4,1198.0,86.8,5.0,2.39,honda,honda brio
159,Delhi,2013,29000,Petrol,Automatic,3,14.8,1595.0,120.7,5.0,11.25,mercedes-benz,mercedes-benz b
160,Kochi,2015,42831,Diesel,Manual,3,26.0,1498.0,98.6,5.0,7.11,honda,honda city
161,Ahmedabad,2016,90000,Diesel,Manual,3,12.99,2494.0,100.6,7.0,10.9,toyota,toyota innova
162,Ahmedabad,2017,24005,Petrol,Manual,3,20.4,1197.0,81.8,5.0,6.2,maruti,maruti swift
163,Mumbai,2012,32792,Diesel,Manual,3,15.1,2179.0,140.0,7.0,7.9,mahindra,mahindra xuv500
164,Kochi,2014,147898,Diesel,Manual,3,22.7,1498.0,89.84,5.0,4.42,ford,ford ecosport
165,Mumbai,2012,131765,Diesel,Manual,3,13.0,2982.0,168.5,7.0,13.5,toyota,toyota fortuner
166,Chennai,2013,65000,Diesel,Automatic,3,21.5,1498.0,108.5,5.0,6.25,volkswagen,volkswagen vento
167,Jaipur,2010,66123,Diesel,Manual,2,20.0,1399.0,68.0,5.0,2.1,ford,ford figo
170,Bangalore,2012,45000,Petrol,Manual,2,19.4,1198.0,86.8,5.0,3.65,honda,honda brio
171,Delhi,2013,60000,Petrol,Manual,3,20.36,1197.0,78.9,5.0,2.75,hyundai,hyundai i10
173,Kolkata,2019,1000,Petrol,Manual,3,18.9,1197.0,81.86,5.0,6.5,hyundai,hyundai grand
174,Mumbai,2012,62500,Diesel,Automatic,2,17.68,1968.0,174.33,5.0,19.0,audi,audi a6
175,Mumbai,2013,21000,Petrol,Automatic,2,14.4,1598.0,103.6,5.0,4.45,volkswagen,volkswagen vento
177,Bangalore,2014,29000,Diesel,Manual,3,22.54,1396.0,88.73,5.0,8.35,hyundai,hyundai i20
178,Mumbai,2014,40000,Diesel,Automatic,3,17.68,1968.0,174.33,5.0,22.95,audi,audi a6
179,Jaipur,2012,88000,Diesel,Manual,3,25.44,936.0,57.6,5.0,1.5,chevrolet,chevrolet beat
180,Kochi,2012,53537,Petrol,Automatic,3,13.7,1798.0,157.75,5.0,6.89,skoda,skoda superb
183,Jaipur,2007,118500,Petrol,Manual,3,12.9,1598.0,102.5,5.0,1.25,chevrolet,chevrolet optra
184,Hyderabad,2012,63000,Diesel,Manual,3,22.07,1199.0,73.9,5.0,4.2,volkswagen,volkswagen polo
187,Kochi,2017,24773,Petrol,Manual,3,21.4,1197.0,83.1,5.0,7.5,maruti,maruti baleno
188,Delhi,2012,62000,Diesel,Manual,3,22.32,1582.0,126.32,5.0,4.6,hyundai,hyundai verna
189,Kochi,2017,52340,Petrol,Manual,3,19.81,1086.0,68.05,5.0,4.04,hyundai,hyundai i10
190,Kochi,2016,56739,Diesel,Manual,3,15.4,1997.0,120.0,7.0,10.31,mahindra,mahindra scorpio
192,Chennai,2010,120000,Diesel,Manual,3,20.0,1399.0,68.0,5.0,2.6,ford,ford figo
193,Mumbai,2016,33000,Diesel,Manual,3,25.47,1248.0,88.5,7.0,8.5,maruti,maruti ertiga
195,Kolkata,2014,52000,Diesel,Manual,3,25.8,1498.0,98.6,5.0,3.5,honda,honda amaze
196,Jaipur,2015,43571,Petrol,Manual,3,20.36,1197.0,78.9,5.0,3.55,hyundai,hyundai i10
197,Kolkata,2013,50000,Diesel,Manual,3,25.8,1498.0,98.6,5.0,3.25,honda,honda amaze
198,Hyderabad,2008,113000,Diesel,Manual,3,17.5,1896.0,106.0,5.0,4.5,skoda,skoda laura
199,Delhi,2014,90000,Diesel,Manual,3,19.87,1461.0,83.8,5.0,5.35,renault,renault duster
201,Mumbai,2016,20000,Diesel,Manual,3,24.3,1248.0,88.5,5.0,9.0,maruti,maruti vitara
202,Kochi,2016,61012,Petrol,Manual,3,18.6,1197.0,81.83,5.0,6.0,hyundai,hyundai i20
203,Jaipur,2009,87459,Petrol,Manual,3,14.7,1390.0,85.0,5.0,2.75,skoda,skoda fabia
204,Pune,2010,70500,Petrol,Manual,3,15.64,1193.0,64.1,5.0,1.5,tata,tata indigo
205,Delhi,2015,64103,Diesel,Automatic,3,15.73,1968.0,174.33,5.0,19.9,audi,audi q3
206,Mumbai,2014,76000,Petrol,Automatic,3,14.7,1798.0,177.5,5.0,10.0,skoda,skoda octavia
207,Delhi,2014,104000,Diesel,Manual,3,23.59,1364.0,67.06,5.0,3.0,toyota,toyota etios
209,Kochi,2014,37245,Petrol,Automatic,3,14.8,1595.0,120.7,5.0,11.96,mercedes-benz,mercedes-benz b
210,Kolkata,2013,45000,Diesel,Manual,3,27.4,1498.0,98.6,5.0,3.25,honda,honda amaze
211,Jaipur,2012,117837,Diesel,Manual,2,22.32,1582.0,126.32,5.0,4.75,hyundai,hyundai verna
212,Mumbai,2014,30000,Diesel,Manual,3,20.46,1461.0,83.8,5.0,5.95,renault,renault duster
213,Delhi,2015,27057,Petrol,Manual,2,15.29,1591.0,121.3,5.0,8.15,hyundai,hyundai creta
214,Mumbai,2016,8500,Petrol,Automatic,3,20.51,998.0,67.0,5.0,4.22,maruti,maruti wagon
215,Kolkata,2010,30500,Petrol,Automatic,3,11.74,1796.0,186.0,5.0,10.5,mercedes-benz,mercedes-benz new
217,Pune,2012,44000,Petrol,Manual,2,19.81,1086.0,68.05,5.0,2.9,hyundai,hyundai i10
218,Mumbai,2017,10500,Petrol,Automatic,3,14.3,1598.0,103.52,5.0,8.9,skoda,skoda rapid
220,Coimbatore,2018,25166,Petrol,Manual,3,17.19,1197.0,81.86,5.0,8.22,hyundai,hyundai i20
221,Kolkata,2014,64000,Diesel,Manual,2,25.8,1498.0,98.6,5.0,3.5,honda,honda amaze
222,Chennai,2004,61000,Petrol,Manual,2,18.9,998.0,67.1,5.0,1.25,maruti,maruti wagon
225,Kolkata,2013,32000,Petrol,Manual,3,22.5,998.0,67.04,5.0,2.65,maruti,maruti wagon
226,Coimbatore,2015,46173,Diesel,Manual,2,19.01,1461.0,108.5,5.0,8.92,nissan,nissan terrano
231,Kochi,2016,60813,Petrol,Manual,2,18.6,1199.0,76.8,5.0,3.32,chevrolet,chevrolet beat
232,Mumbai,2012,45000,Diesel,Manual,3,22.07,1199.0,73.9,5.0,3.6,volkswagen,volkswagen polo
233,Hyderabad,2016,64000,Diesel,Manual,3,22.9,1248.0,74.0,5.0,6.8,maruti,maruti swift
234,Kolkata,2012,41284,Diesel,Manual,3,20.0,1399.0,68.05,5.0,2.5,ford,ford figo
235,Kochi,2019,14165,Diesel,Automatic,3,11.36,2755.0,171.5,7.0,19.64,toyota,toyota innova
236,Mumbai,2011,67000,Diesel,Automatic,2,11.72,2199.0,194.3,7.0,7.0,hyundai,hyundai santa
237,Kolkata,2011,32572,Petrol,Manual,3,17.4,1497.0,117.3,5.0,3.87,honda,honda city
238,Kochi,2018,14960,Petrol,Manual,3,18.6,1197.0,81.83,5.0,6.27,hyundai,hyundai i20
239,Kochi,2015,55980,Diesel,Automatic,3,19.27,2143.0,167.62,5.0,18.12,mercedes-benz,mercedes-benz new
240,Mumbai,2013,74000,Diesel,Manual,3,25.44,936.0,57.6,5.0,2.65,chevrolet,chevrolet beat
241,Kochi,2015,56847,Diesel,Manual,3,22.54,1396.0,88.73,5.0,7.2,hyundai,hyundai i20
242,Coimbatore,2015,121374,Diesel,Manual,3,12.99,2494.0,100.6,7.0,14.3,toyota,toyota innova
243,Chennai,2013,52000,Diesel,Manual,3,20.77,1248.0,88.76,7.0,6.9,maruti,maruti ertiga
244,Mumbai,2014,118000,Diesel,Manual,3,12.8,2494.0,102.0,7.0,10.75,toyota,toyota innova
246,Kochi,2016,33915,Petrol,Manual,3,17.8,1497.0,117.3,5.0,8.09,honda,honda city
247,Ahmedabad,2014,82002,Diesel,Automatic,3,17.05,1995.0,184.0,5.0,18.5,bmw,bmw x1
248,Mumbai,2017,33000,Diesel,Manual,3,24.0,1120.0,70.0,5.0,4.75,hyundai,hyundai grand
249,Chennai,2016,34000,Diesel,Manual,3,28.09,1248.0,88.5,5.0,8.45,maruti,maruti ciaz
250,Kolkata,2012,55000,Diesel,Manual,3,20.5,1598.0,103.6,5.0,3.5,skoda,skoda rapid
251,Kochi,2006,160538,Diesel,Manual,3,13.1,1493.0,82.0,5.0,1.8,hyundai,hyundai accent
252,Jaipur,2014,60000,Diesel,Manual,2,19.91,1498.0,103.6,5.0,3.7,volkswagen,volkswagen polo
253,Coimbatore,2017,49575,Petrol,Manual,3,18.7,1199.0,88.7,5.0,7.17,honda,honda jazz
254,Jaipur,2010,83000,Petrol,Manual,3,19.81,1086.0,68.05,5.0,1.75,hyundai,hyundai i10
256,Pune,2017,43000,Diesel,Manual,3,13.68,2393.0,147.8,7.0,18.65,toyota,toyota innova
257,Jaipur,2011,35000,Petrol,Manual,1,19.7,796.0,35.0,5.0,1.85,maruti,maruti omni
258,Coimbatore,2017,27872,Petrol,Manual,2,20.4,1197.0,81.8,5.0,5.95,maruti,maruti swift
259,Mumbai,2014,16514,Petrol,Manual,3,18.9,1197.0,82.0,5.0,3.75,hyundai,hyundai grand
260,Pune,2012,120000,Diesel,Manual,3,22.9,1248.0,74.0,5.0,3.75,maruti,maruti swift
261,Hyderabad,2008,143275,Diesel,Manual,3,22.0,1582.0,126.2,5.0,2.6,hyundai,hyundai verna
263,Mumbai,2010,52000,Petrol,Manual,3,17.0,1197.0,80.0,5.0,2.8,hyundai,hyundai i20
265,Bangalore,2014,57000,Diesel,Manual,2,15.8,2148.0,170.0,5.0,18.0,mercedes-benz,mercedes-benz new
266,Hyderabad,2014,88500,Diesel,Manual,3,23.2,1248.0,73.94,5.0,4.35,maruti,maruti ritz
267,Bangalore,2016,28000,Diesel,Manual,3,19.67,1582.0,126.2,5.0,13.75,hyundai,hyundai creta
268,Pune,2010,67000,Petrol,Manual,3,19.0,998.0,66.1,5.0,2.0,maruti,maruti a-star
269,Delhi,2016,26000,Diesel,Manual,3,19.64,1461.0,108.45,5.0,10.0,renault,renault duster
272,Bangalore,2010,36000,Petrol,Manual,2,20.36,1197.0,78.9,5.0,3.25,hyundai,hyundai i10
273,Pune,2016,47000,Diesel,Manual,3,12.8,2494.0,102.0,7.0,12.8,toyota,toyota innova
274,Mumbai,2002,60000,Petrol,Manual,1,17.3,993.0,60.0,5.0,0.55,maruti,maruti zen
275,Hyderabad,2018,31025,Diesel,Manual,3,28.4,1248.0,74.0,5.0,7.15,maruti,maruti swift
276,Pune,2013,105000,Diesel,Manual,2,12.05,2179.0,120.0,8.0,7.0,mahindra,mahindra scorpio
277,Pune,2017,121900,Diesel,Manual,3,22.95,1248.0,74.0,5.0,3.75,tata,tata zest
278,Mumbai,2017,22695,Petrol,Manual,3,18.88,999.0,123.24,5.0,8.5,ford,ford ecosport
279,Jaipur,2012,73000,Diesel,Manual,3,23.4,1248.0,74.0,5.0,4.35,maruti,maruti swift
280,Kochi,2016,32227,Petrol,Manual,3,22.74,796.0,47.3,5.0,3.26,maruti,maruti alto
281,Jaipur,2011,55000,Petrol,Manual,3,17.0,1497.0,118.0,5.0,4.21,honda,honda city
283,Mumbai,2009,48000,Diesel,Automatic,2,17.0,1896.0,105.0,5.0,2.95,skoda,skoda laura
284,Kochi,2012,54308,Petrol,Manual,3,17.1,1591.0,121.3,5.0,4.28,hyundai,hyundai verna
285,Jaipur,2009,78442,Petrol,Automatic,3,16.8,1497.0,118.0,5.0,3.57,honda,honda city
286,Kolkata,2013,46000,Diesel,Manual,3,21.9,1396.0,88.8,5.0,3.11,hyundai,hyundai i20
287,Coimbatore,2014,45051,Petrol,Automatic,3,15.0,1396.0,98.6,5.0,5.96,hyundai,hyundai i20
288,Hyderabad,2011,69000,Diesel,Manual,3,20.54,1598.0,103.6,5.0,4.7,volkswagen,volkswagen vento
289,Ahmedabad,2014,49000,Petrol,Manual,3,17.4,1497.0,117.3,5.0,6.9,honda,honda city
290,Pune,2018,45000,Diesel,Manual,3,22.95,1248.0,74.0,5.0,5.25,tata,tata zest
292,Delhi,2009,60000,Petrol,Manual,3,18.9,1061.0,67.0,5.0,1.35,maruti,maruti wagon
293,Delhi,2015,62178,Petrol,Manual,3,18.2,1199.0,88.7,5.0,4.85,honda,honda jazz
294,Coimbatore,2012,58006,Diesel,Manual,3,15.0,1896.0,105.0,5.0,6.7,volkswagen,volkswagen jetta
295,Hyderabad,2010,74000,Petrol,Manual,3,20.36,1197.0,78.9,5.0,3.1,hyundai,hyundai i10
296,Kochi,2015,77771,Diesel,Automatic,3,19.27,2143.0,170.0,5.0,18.64,mercedes-benz,mercedes-benz new
297,Pune,2012,45275,Petrol,Manual,3,20.36,1197.0,78.9,5.0,2.8,hyundai,hyundai i10
298,Chennai,2016,48000,Diesel,Manual,3,13.68,2393.0,147.8,7.0,20.25,toyota,toyota innova
300,Hyderabad,2010,109000,Diesel,Manual,2,12.99,2494.0,100.6,7.0,8.26,toyota,toyota innova
301,Mumbai,2015,31978,Petrol,Manual,3,16.47,1198.0,73.9,5.0,3.89,volkswagen,volkswagen polo
302,Hyderabad,2011,70000,Petrol,Manual,3,20.92,998.0,67.1,5.0,2.1,maruti,maruti alto
303,Mumbai,2017,15000,Petrol,Automatic,3,18.0,1497.0,117.3,5.0,12.69,honda,honda city
304,Coimbatore,2013,59138,Diesel,Manual,3,17.0,1405.0,70.0,5.0,2.58,tata,tata indigo
305,Kochi,2014,61726,Diesel,Automatic,3,17.68,1968.0,174.33,5.0,20.77,audi,audi a6
306,Delhi,2015,48000,Diesel,Automatic,3,17.9,2143.0,136.0,5.0,20.26,mercedes-benz,mercedes-benz gla
